ID	log2fold	p	p.adj
ENSMUSG00000030017	-11.0761406493	6.32803693479667E-013	4.43026290505581E-011
ENSMUSG00000029797	4.0285559248	6.77503824442212E-013	4.71158742977929E-011
ENSMUSG00000042035	4.7257053324	6.75655728100927E-013	4.71158742977929E-011
ENSMUSG00000036362	5.56842967	6.93641584634284E-013	4.80778883063955E-011
ENSMUSG00000069520	2.1182090004	6.96283124900292E-013	4.81011749496516E-011
ENSMUSG00000031819	1.8074705316	7.11368389533341E-013	4.89811178575382E-011
ENSMUSG00000041025	2.2052801231	7.32079167592286E-013	5.02413410311772E-011
ENSMUSG00000044636	2.9926436068	7.69188828244739E-013	5.26150377825246E-011
ENSMUSG00000038843	-3.531222083	8.00041470262973E-013	5.45466182813608E-011
ENSMUSG00000021643	3.652757087	8.07636465802098E-013	5.48850800847856E-011
ENSMUSG00000036887	4.6137758253	8.33953512114293E-013	5.6489519880651E-011
ENSMUSG00000057530	-2.0811104631	9.50138625369236E-013	6.41512690649785E-011
ENSMUSG00000074604	3.297801395	9.9656463417839E-013	6.70687998802056E-011
ENSMUSG00000108239	-8.2907485383	1.06667679355491E-012	7.15565207200515E-011
ENSMUSG00000061436	-1.5129779743	1.17127820415764E-012	7.83217217094255E-011
ENSMUSG00000023927	2.8893080244	1.33408116879017E-012	8.89231163721063E-011
ENSMUSG00000087196	-3.3604557956	1.40860904995257E-012	9.35917535323585E-011
ENSMUSG00000040616	3.2498434916	1.44557497480656E-012	9.5742954601236E-011
ENSMUSG00000005514	-1.5287057527	1.54306700982919E-012	1.01876604512868E-010
ENSMUSG00000046711	1.8173165004	1.57493140211158E-012	1.03652346505533E-010
ENSMUSG00000067341	3.9257680327	1.72069135340043E-012	1.12889256937086E-010
ENSMUSG00000040723	1.7016290556	1.73310553616474E-012	1.1334727523826E-010
ENSMUSG00000067767	-4.6903873378	1.87185872390712E-012	1.22039339240232E-010
ENSMUSG00000051504	4.6016241383	1.91606107110528E-012	1.24532031546634E-010
ENSMUSG00000019929	-4.3772673957	2.065050649684E-012	1.33798607777507E-010
ENSMUSG00000019188	1.6250613333	2.08525594522055E-012	1.34689457539122E-010
ENSMUSG00000021365	-2.4078273706	2.16289864414863E-012	1.39273316089114E-010
ENSMUSG00000027219	3.3212366187	2.20697239107357E-012	1.41674046138363E-010
ENSMUSG00000051517	-1.9992001969	2.24775858118341E-012	1.43849654230765E-010
ENSMUSG00000030990	1.4352587417	2.48023904649381E-012	1.5824228509786E-010
ENSMUSG00000068747	3.1125338079	2.53770254357117E-012	1.61414902946724E-010
ENSMUSG00000025278	-1.712177852	2.55269476285639E-012	1.61874987347942E-010
ENSMUSG00000024353	3.7587748323	3.15651810484928E-012	1.99558900671123E-010
ENSMUSG00000014030	9.2616711861	3.4903721134332E-012	2.19998892454855E-010
ENSMUSG00000028793	1.5294444021	3.51760000092427E-012	2.21047255479768E-010
